[INFO] [1754933627.600952914] [ouster_scan_band]: Got a subscriber to laserscan, starting pointcloud subscriber
[INFO] [1754933697.412294886] [ouster_scan_band]: No subscribers to laserscan, shutting down pointcloud subscriber
[WARN] [1754933826.585560066] [ouster_scan_band]: New subscription discovered on topic '/ouster/scan_multi', requesting incompatible QoS. No messages will be sent to it. Last incompatible policy: RELIABILITY_QOS_POLICY
[INFO] [1754933833.711157932] [ouster_scan_band]: Got a subscriber to laserscan, starting pointcloud subscriber
[INFO] [1754934517.397140649] [ouster_scan_band]: No subscribers to laserscan, shutting down pointcloud subscriber
[INFO] [1754935255.777673219] [ouster_scan_band]: Got a subscriber to laserscan, starting pointcloud subscriber
[INFO] [1754935389.035736339] [ouster_scan_band]: No subscribers to laserscan, shutting down pointcloud subscriber
[INFO] [1754935803.225751156] [ouster_scan_band]: Got a subscriber to laserscan, starting pointcloud subscriber
[INFO] [1754936256.208560068] [ouster_scan_band]: No subscribers to laserscan, shutting down pointcloud subscriber
[INFO] [1754936269.324122289] [ouster_scan_band]: Got a subscriber to laserscan, starting pointcloud subscriber
[INFO] [1754936337.814277757] [ouster_scan_band]: No subscribers to laserscan, shutting down pointcloud subscriber
