[INFO] [1754074280.408488711] [a200_0000.controller_manager]: Using Steady (Monotonic) clock for triggering controller manager cycles.
[INFO] [1754074280.419606649] [a200_0000.controller_manager]: Subscribing to '/a200_0000/robot_description' topic for robot description.
[INFO] [1754074280.475473266] [a200_0000.controller_manager]: update rate is 20 Hz
[INFO] [1754074280.475513091] [a200_0000.controller_manager]: Spawning controller_manager RT thread with scheduler priority: 50
[WARN] [1754074280.475610211] [a200_0000.controller_manager]: Could not enable FIFO RT scheduling policy: with error number <1>(Operation not permitted). See [https://control.ros.org/master/doc/ros2_control/controller_manager/doc/userdoc.html] for details on how to enable realtime scheduling.
[INFO] [1754074280.476044445] [a200_0000.controller_manager]: Received robot description from topic.
[INFO] [1754074280.477732169] [a200_0000.controller_manager]: Loading hardware 'a200_hardware' 
[INFO] [1754074280.478439004] [a200_0000.controller_manager]: Loaded hardware 'a200_hardware' from plugin 'clearpath_hardware_interfaces/A200Hardware'
[INFO] [1754074280.478475956] [a200_0000.controller_manager]: Initialize hardware 'a200_hardware' 
[INFO] [1754074280.478508813] [A200Hardware]: Name: a200_hardware
[INFO] [1754074280.478510981] [A200Hardware]: Number of Joints 4
[INFO] [1754074280.484894810] [A200Hardware]: Port: /dev/clearpath/prolific
[ERROR] [1754074280.484993046] [a200_0000.controller_manager]: Unknown exception occurred while initializing hardware 'a200_hardware'
[WARN] [1754074280.485022765] [a200_0000.controller_manager]: System hardware component 'a200_hardware' from plugin 'clearpath_hardware_interfaces/A200Hardware' failed to initialize.
[WARN] [1754074280.488714236] [a200_0000.controller_manager]: Could not load and initialize hardware. Please check previous output for more details. After you have corrected your URDF, try to publish robot description again.
[WARN] [1754074281.418066845] [a200_0000.controller_manager]: Waiting for data on 'robot_description' topic to finish initialization
[WARN] [1754074282.418163640] [a200_0000.controller_manager]: Waiting for data on 'robot_description' topic to finish initialization
[WARN] [1754074283.418066026] [a200_0000.controller_manager]: Waiting for data on 'robot_description' topic to finish initialization
[WARN] [1754074284.418036970] [a200_0000.controller_manager]: Waiting for data on 'robot_description' topic to finish initialization
[WARN] [1754074285.418042880] [a200_0000.controller_manager]: Waiting for data on 'robot_description' topic to finish initialization
[WARN] [1754074286.418043384] [a200_0000.controller_manager]: Waiting for data on 'robot_description' topic to finish initialization
[WARN] [1754074287.418075595] [a200_0000.controller_manager]: Waiting for data on 'robot_description' topic to finish initialization
[WARN] [1754074288.418039975] [a200_0000.controller_manager]: Waiting for data on 'robot_description' topic to finish initialization
[WARN] [1754074289.418071796] [a200_0000.controller_manager]: Waiting for data on 'robot_description' topic to finish initialization
[WARN] [1754074290.418067774] [a200_0000.controller_manager]: Waiting for data on 'robot_description' topic to finish initialization
[WARN] [1754074291.418068770] [a200_0000.controller_manager]: Waiting for data on 'robot_description' topic to finish initialization
[WARN] [1754074292.418064260] [a200_0000.controller_manager]: Waiting for data on 'robot_description' topic to finish initialization
[WARN] [1754074293.418040266] [a200_0000.controller_manager]: Waiting for data on 'robot_description' topic to finish initialization
[WARN] [1754074294.418036603] [a200_0000.controller_manager]: Waiting for data on 'robot_description' topic to finish initialization
[WARN] [1754074295.418039950] [a200_0000.controller_manager]: Waiting for data on 'robot_description' topic to finish initialization
[WARN] [1754074296.418037857] [a200_0000.controller_manager]: Waiting for data on 'robot_description' topic to finish initialization
[WARN] [1754074297.418070562] [a200_0000.controller_manager]: Waiting for data on 'robot_description' topic to finish initialization
[WARN] [1754074298.418063947] [a200_0000.controller_manager]: Waiting for data on 'robot_description' topic to finish initialization
[WARN] [1754074299.418065812] [a200_0000.controller_manager]: Waiting for data on 'robot_description' topic to finish initialization
[WARN] [1754074300.418128329] [a200_0000.controller_manager]: Waiting for data on 'robot_description' topic to finish initialization
[WARN] [1754074301.418055051] [a200_0000.controller_manager]: Waiting for data on 'robot_description' topic to finish initialization
[WARN] [1754074302.418065958] [a200_0000.controller_manager]: Waiting for data on 'robot_description' topic to finish initialization
[WARN] [1754074303.418112805] [a200_0000.controller_manager]: Waiting for data on 'robot_description' topic to finish initialization
[WARN] [1754074304.418108492] [a200_0000.controller_manager]: Waiting for data on 'robot_description' topic to finish initialization
[WARN] [1754074305.418066836] [a200_0000.controller_manager]: Waiting for data on 'robot_description' topic to finish initialization
[WARN] [1754074306.418049340] [a200_0000.controller_manager]: Waiting for data on 'robot_description' topic to finish initialization
[WARN] [1754074307.418131359] [a200_0000.controller_manager]: Waiting for data on 'robot_description' topic to finish initialization
[WARN] [1754074308.418036480] [a200_0000.controller_manager]: Waiting for data on 'robot_description' topic to finish initialization
[WARN] [1754074309.418197089] [a200_0000.controller_manager]: Waiting for data on 'robot_description' topic to finish initialization
